Urls,Alive,Result Code,Result Text,Socket Error
coronarmor.com,Yes,404,Not Found,
coromasks.com,Yes,404,Not Found,
officialcoronamask.com,Yes,404,Not Found,
stopcovidtoday.com,Yes,404,Not Found,
maskawaycoronavirus.com,Yes,404,Not Found,
coronavirussurvivalsupplies.com,Yes,404,Not Found,
saynotocovid-19.com,Yes,404,Not Found,
coronavirusfiltermask.com,Yes,404,Not Found,
coronavirusthermometer.com,Yes,404,Not Found,
coronavirust.com,Yes,404,Not Found,
covid-19-safety.com,Yes,404,Not Found,
coronamaskshop.com,Yes,404,Not Found,
coronamaskeu.com,Yes,404,Not Found,
stopcoronavirus.eu,Yes,404,Not Found,
kunst-gegen-corona.de,Yes,404,Not Found,
covid19-mobilisation.org,Yes,404,Not Found,
coronavirusprotec.com,Yes,404,Not Found,
coronavirusprotection.store,Yes,404,Not Found,
coronavirusshirts.de,Yes,404,Not Found,
covidsurvivors.org,Yes,404,Not Found,
thecovidfree.com,Yes,404,Not Found,
coronavirusarticles.info,Yes,404,Not Found,
viruscorona.ga,Yes,404,Not Found,
lecoromask.com,Yes,404,Not Found,
covidefense.com,Yes,404,Not Found,
coronavirusmasken.com,Yes,404,Not Found,
corona-safe.de,Yes,404,Not Found,
coronavirus-kit.store,Yes,404,Not Found,
coronavirus-gov.com,Yes,404,Not Found,
coronavirusrapidtesting.ch,Yes,404,Not Found,
covid19healthprotection.com,Yes,404,Not Found,
blockcoronamask.com,Yes,404,Not Found,
coronavdefender.com,Yes,404,Not Found,
nocorona2020.com,Yes,404,Not Found,
killthecoronavirusclothing.com,Yes,404,Not Found,
coronahealthsupplies.com,Yes,404,Not Found,
coronavirus-prevention-shop.com,Yes,404,Not Found,
stopthecoronavirus.com,Yes,404,Not Found,
coronavirusoutfitters.com,Yes,404,Not Found,
coronavirusmask.online,Yes,404,Not Found,
covid-mascarillas.com,Yes,404,Not Found,
coronavirusdefensemask.com,Yes,404,Not Found,
covid19test.app,Yes,404,Not Found,
coronamask.be,Yes,404,Not Found,
coronavirusaroundme.com,Yes,404,Not Found,
covid-alert.com,Yes,404,Not Found,
coronavirusmasks.com.au,Yes,404,Not Found,
corona-virus.guide,Yes,404,Not Found,
coronavirusadvise.com,Yes,404,Not Found,
isurvivedcorona2020.com,Yes,404,Not Found,
protectfromcorona.com,Yes,404,Not Found,
covid.blue,Yes,404,Not Found,
coronasolution.ca,Yes,404,Not Found,
coronabuster.com,Yes,404,Not Found,
normalityaftercovid.com,Yes,404,Not Found,
shopcoronaapparel.com,Yes,404,Not Found,
coronavirus-emergency-kit.com,Yes,404,Not Found,
coronavirus-mask.info,Yes,404,Not Found,
covidzinc.com,Yes,404,Not Found,
coronaviruspreventie.nl,Yes,404,Not Found,
covidwatch.online,Yes,404,Not Found,
corona-alerte.com,Yes,404,Not Found,
top10coronamasks.com,Yes,404,Not Found,
coronavirusrapidtesting.de,Yes,404,Not Found,
coronavirus-protection-kit.com,Yes,404,Not Found,
coronahumor.com,Yes,404,Not Found,
survivingcoronaclub.com,Yes,404,Not Found,
coronadeals.shop,Yes,404,Not Found,
coronavirusheros.com,Yes,404,Not Found,
sayno2coronavirus.com,Yes,404,Not Found,
covid19swabkits.com,Yes,404,Not Found,
coronaid2020.de,Yes,404,Not Found,
coronavirushealthcare.com,Yes,404,Not Found,
shopcoronavirus.org,Yes,404,Not Found,
coronamaskee.com,Yes,404,Not Found,
precoronavirus.com,Yes,404,Not Found,
bestcoronamasks.net,Yes,404,Not Found,
fvck-covid19.com,Yes,404,Not Found,
free-corona-mask.com,Yes,404,Not Found,
samensolidairtegencorona.nl,Yes,404,Not Found,
thecoronaguard.com,Yes,404,Not Found,
coronavirushelpkit.com,Yes,404,Not Found,
anticorona.site,Yes,404,Not Found,
medicodelcoronavirus.com,Yes,404,Not Found,
coronamaskparis.com,Yes,404,Not Found,
outlastcoronavirus.com,Yes,404,Not Found,
coronavirusfree.today,Yes,404,Not Found,
coronaart.online,Yes,404,Not Found,
repelcoronavirus.com,Yes,404,Not Found,
anticoronamasks.com,Yes,404,Not Found,
stopcoronavirustogether.com,Yes,404,Not Found,
coronavirushealth.shop,Yes,404,Not Found,
coronavtech.com,Yes,404,Not Found,
coronabutiken.com,Yes,404,Not Found,
coronabeschermd.nl,Yes,404,Not Found,
coronaorfashion.com,Yes,404,Not Found,
shopcoronavirusmask.com,Yes,404,Not Found,
bestcoronamasks.co.uk,Yes,404,Not Found,
coronavirusuk.shop,Yes,404,Not Found,
quarantees.co.uk,Yes,404,Not Found,
